Date,Close/Last,Volume,Open,High,Low
05/13/2024,12.5701,1832004,12.5551,13.1101,12.4144
05/10/2024,12.7201,1651261,12.6001,12.9298,12.2704
05/09/2024,13.0801,1810224,12.5401,13.2001,12.4201
05/08/2024,12.6001,1541861,12.8101,12.8551,12.3604
05/07/2024,12.5551,2288175,12.4501,12.9601,12.2401
05/06/2024,12.1351,1550170,12.9601,13.0201,12.1156
05/03/2024,13.1101,1963664,13.4401,13.6501,12.9601
05/02/2024,14.1001,1469925,14.5951,15.0302,13.9501
05/01/2024,15.1052,4044133,14.4001,15.6602,14.1598
04/30/2024,13.9951,1813884,13.7401,14.0104,13.2601
04/29/2024,13.5901,1331977,13.6201,14.3401,13.5229
04/26/2024,13.5301,1981689,15.0602,15.2102,13.3792
04/25/2024,15.5102,2861239,17.1002,17.3402,15.2102
04/24/2024,16.7402,1936796,15.0602,16.8902,15.0302
04/23/2024,15.6302,1242078,16.4102,16.5962,15.5102
04/22/2024,16.9202,1987705,17.6402,18.4502,16.6802
04/19/2024,18.5102,2788042,16.0802,18.7502,15.5402
04/18/2024,15.4502,1036401,15.3602,16.2302,14.8801
04/17/2024,15.6302,1160288,14.2501,15.6602,14.1001
04/16/2024,14.5501,1175251,14.8801,15.0002,14.2801
04/15/2024,15.0302,1202453,14.0101,15.0302,13.5301
04/12/2024,14.2951,1237121,13.8601,14.5156,13.7401
04/11/2024,13.5901,1229662,14.6401,14.8201,13.5301
04/10/2024,14.8051,1645883,15.9602,15.9902,14.6701
04/09/2024,15.4052,1490268,14.6701,16.2002,14.6101
04/08/2024,14.8051,691627,14.2801,14.9398,14.2501
04/05/2024,14.5051,980450,14.8801,15.2102,14.3551
04/04/2024,15.2702,1163306,13.7701,15.2702,13.7101
04/03/2024,14.2501,646910,14.4301,14.4301,13.8001
04/02/2024,14.1001,905141,14.4301,14.6551,13.8901
04/01/2024,13.8601,833786,13.8301,14.1601,13.2601
03/28/2024,13.8601,885240,13.9351,14.1601,13.5301
03/27/2024,13.8301,1478307,13.0501,14.1301,12.9901
03/26/2024,13.1701,1304489,12.3001,13.1701,12.1651
03/25/2024,12.5251,1375211,12.7801,12.9301,12.0856
03/22/2024,12.7501,1246339,13.6801,13.7101,12.5851
03/21/2024,13.5601,1803883,13.2901,13.8601,13.1701
03/20/2024,13.8901,768099,14.0701,14.5651,13.8601
03/19/2024,14.2201,1168875,15.0902,15.6302,13.8301
03/18/2024,14.5201,994520,13.9201,14.9401,13.1953
03/15/2024,14.6851,814681,15.0002,15.2252,14.1301
03/14/2024,14.6101,1052898,14.1601,15.0752,13.8451
03/13/2024,13.7401,928030,13.6801,14.4601,13.5901
03/12/2024,13.4551,1340732,14.8501,15.5402,13.4401
03/11/2024,15.6752,2039345,15.5702,16.2302,14.6701
03/08/2024,15.0602,2730850,12.8701,15.3752,12.2101
03/07/2024,13.5901,704102,14.4001,14.5801,13.5601
03/06/2024,14.8801,559861,15.1802,15.5102,14.5351
03/05/2024,15.9302,504175,16.2002,16.8902,15.9002
03/04/2024,16.2602,526846,16.6802,16.8005,15.2402
03/01/2024,17.4602,430970,18.4802,18.7202,17.4302
02/29/2024,18.9302,614572,18.9002,19.2902,18.4652
02/28/2024,19.6202,710694,19.6802,19.8602,19.0352
02/27/2024,19.0802,1327782,18.8102,19.8302,18.7679
02/26/2024,18.8702,1200277,18.7202,19.2302,18.2102
02/23/2024,18.9902,1364616,18.1202,19.6802,17.3102
02/22/2024,19.2002,959106,22.1402,22.8302,19.2002
02/21/2024,28.5903,1137496,28.2003,29.52,27.4533
02/20/2024,26.4003,1010058,25.4103,28.1103,25.3803
02/16/2024,24.7802,434849,23.8202,24.9302,23.6132
02/15/2024,24.7952,232928,24.0302,24.9602,23.9702
02/14/2024,23.9702,231635,24.4202,25.3203,23.7602
02/13/2024,25.1403,560528,26.4603,26.9703,24.3302
02/12/2024,25.1403,377276,24.9002,25.8303,23.5202
02/09/2024,25.1703,141352,26.4903,26.6703,25.1403
02/08/2024,27.0903,123999,26.8503,27.2103,26.3403
02/07/2024,26.7603,136882,28.3503,28.7703,26.6853
02/06/2024,28.2933,433637,27.2403,29.8074,27.1203
02/05/2024,27.5103,251804,28.5003,29.3403,27.3903
02/02/2024,30.3294,43989,32.7003,32.8203,29.9703
02/01/2024,33.7503,49756,34.6503,35.3404,33.6003
01/31/2024,35.3737,57588,35.4604,36.1804,34.7103
01/30/2024,34.0803,65480,33.8703,34.5003,33.2403
01/29/2024,34.4193,42301,35.8204,36.0604,34.4193
01/26/2024,35.9704,40524,36.1804,36.5332,35.3404
01/25/2024,35.3953,15063,34.6203,36.1495,34.2303
01/24/2024,35.5504,29330,37.3504,37.3504,33.8673
01/23/2024,37.4623,5561,39.0004,39.0004,37.4623
01/22/2024,37.7404,24831,37.3504,38.2804,37.0195
01/19/2024,37.957,42463,40.3204,41.0404,37.957
01/18/2024,41.5093,23433,41.3404,42.7954,40.7701
01/17/2024,43.081,9585,42.6304,44.7454,42.6304
01/16/2024,42.6304,41831,44.9104,44.9104,41.9134
01/12/2024,45.2447,20425,45.6875,45.8705,44.9404
01/11/2024,45.1505,32704,44.8504,47.0405,44.3434
01/10/2024,45.8705,12235,47.1905,47.1905,45.5705
01/09/2024,48.0686,17641,49.4705,50.5205,45.9035
01/08/2024,49.8275,12472,56.0406,56.0406,49.8275
01/05/2024,57.0762,3818,58.6131,58.6206,56.0703
01/04/2024,59.6976,2229,59.7606,60.0303,58.5507
01/03/2024,60.7263,4752,60.4776,61.0806,59.3106
01/02/2024,59.5476,4062,56.6706,60.4236,56.6706
12/29/2023,56.2302,4734,55.4406,57.8406,55.2606
12/28/2023,56.2206,8363,56.3676,56.4069,55.3506
12/27/2023,56.4006,3179,56.4306,57.0906,56.3106
12/26/2023,56.6916,7249,56.5461,56.6916,55.7706
12/22/2023,64.1277,2944,63.2436,65.1007,63.1806
12/21/2023,63.7752,2641,63.7806,64.9176,63.7752
12/20/2023,65.7694,3018,62.2506,65.9107,61.5006
12/19/2023,62.4006,1168,62.7006,63.9606,62.3406
12/18/2023,60.8658,14125,61.8636,62.1306,60.2706
